class,n_real,n_synth,fid,kid_mean,kid_std,fid_floor,kid_floor_mean,kid_floor_std
akiec,227,1000,74.06,28.719,5.386,70.96,-0.35,0.533
df,84,1000,75.0,20.306,6.571,107.42,3.754,0.0
vasc,96,1000,73.22,12.25,3.148,105.67,-5.267,0.0
