class,n_synth,n_flagged,flagged_fraction,lpips_threshold,inception_threshold
akiec,1000,501,0.501,0.033413,0.049039
bcc,1000,354,0.354,0.04558,0.06189
bkl,1000,41,0.041,0.048614,0.067865
df,1000,934,0.934,0.04175,0.073973
mel,1000,46,0.046,0.049334,0.064895
nv,1000,7,0.007,0.041614,0.064626
vasc,1000,898,0.898,0.053702,0.077612
