arm,test_rare_f1,test_macro_f1,test_balanced_acc,test_auc_ovr,test_f1_akiec,test_f1_df,test_f1_vasc,test_rare_f1_std,test_macro_f1_std,test_balanced_acc_std,test_auc_ovr_std,test_f1_akiec_std,test_f1_df_std,test_f1_vasc_std,seeds,rare_f1_delta
real_only,0.34264112478765835,0.43845219826135945,0.42222845474503545,0.8613886761243865,0.2320382194661922,0.06845238095238095,0.7274327739444019,0.01641781148163849,0.014411735645736232,0.027381023978203883,0.003555982143421711,0.025859180120930508,0.07161434175902359,0.06615323389054566,3,0.0
classical_aug,0.5733940221899636,0.6043523741587712,0.6109825339334375,0.9297701211813916,0.4868797006588293,0.3952991452991453,0.8380032206119162,0.03959848417121343,0.025263232529999693,0.017744546043944154,0.004788646909799237,0.004680033509572013,0.07911755804091287,0.03522707610660302,3,0.23075289740230526
dup_real,0.2887617347163424,0.42019941104857783,0.44569891037282017,0.8681920876111638,0.18396952958529064,0.11134852801519468,0.5709671465485419,0.011383634887579075,0.002214513373998454,0.02149229841543432,0.01241294621190927,0.011670213664139282,0.03328835611364777,0.012603235884877198,3,-0.053879390071315925
synth_all,0.2989435535472314,0.4319315096181546,0.41366135260079867,0.8750566409281575,0.18089721523456462,0.06,0.6559334454071296,0.02192135739017817,0.012081377453839857,0.018446896732787568,0.007738174384702954,0.03372115698884875,0.052915026221291815,0.07311512594771238,3,-0.04369757124042695
synth_accepted,0.2903216364456675,0.41617299305984673,0.399403807747845,0.8606465101798144,0.11835016835016836,0.031746031746031744,0.7208687092408024,0.04823844975458106,0.02899121045529549,0.03345270551099893,0.005339218216565885,0.0687802642912724,0.0549857399228215,0.11319275544197968,3,-0.05231948834199085
