class,n_synth,n_flagged,flagged_fraction,lpips_threshold,inception_threshold
akiec,1000,258,0.258,0.033413,0.049039
df,1000,823,0.823,0.04175,0.073973
vasc,1000,796,0.796,0.053702,0.077612
