class,n_real,n_synth,fid,kid_mean,kid_std,fid_floor,kid_floor_mean,kid_floor_std
akiec,227,1000,46.52,14.103,3.825,70.96,-0.35,0.533
bcc,354,1000,53.91,24.044,5.083,62.39,0.53,1.471
bkl,765,1000,59.58,29.42,4.365,41.07,-0.151,1.416
df,84,1000,38.33,5.678,4.126,107.42,3.754,0.0
mel,776,1000,61.61,33.654,5.542,42.12,1.068,1.804
nv,4679,1000,52.3,24.56,5.838,11.14,-0.041,1.764
vasc,96,1000,43.4,4.136,2.04,105.67,-5.267,0.0
