class,n_synth,n_flagged,flagged_fraction,lpips_threshold,inception_threshold
akiec,1000,0,0.0,0.033413,0.049039
df,1000,40,0.04,0.04175,0.073973
vasc,1000,61,0.061,0.053702,0.077612
