class,n_real,n_synth,fid,kid_mean,kid_std,fid_floor,kid_floor_mean,kid_floor_std
akiec,227,1000,106.21,57.313,7.554,70.96,-0.35,0.533
df,84,1000,109.85,39.247,8.306,107.42,3.754,0.0
vasc,96,1000,110.19,31.403,5.42,105.67,-5.267,0.0
