class,n_real,n_synth,fid,kid_mean,kid_std,fid_floor,kid_floor_mean,kid_floor_std
akiec,227,1000,56.94,19.763,4.146,70.96,-0.35,0.533
df,84,1000,52.06,10.258,5.853,107.42,3.754,0.0
vasc,96,1000,53.34,6.058,2.343,105.67,-5.267,0.0
