class,n_real,n_synth,fid,kid_mean,kid_std,fid_floor,kid_floor_mean,kid_floor_std
akiec,227,1000,49.55,16.016,3.789,70.96,-0.35,0.533
df,84,1000,41.28,6.343,4.247,107.42,3.754,0.0
vasc,96,1000,44.66,4.752,2.228,105.67,-5.267,0.0
