class,n_synth,n_flagged,flagged_fraction,lpips_threshold,inception_threshold
akiec,1000,450,0.45,0.033413,0.049039
df,1000,924,0.924,0.04175,0.073973
vasc,1000,884,0.884,0.053702,0.077612
