class,n_real,n_synth,fid,kid_mean,kid_std,fid_floor,kid_floor_mean,kid_floor_std
akiec,227,1000,152.36,105.781,11.424,70.96,-0.35,0.533
df,84,1000,142.41,52.452,7.877,107.42,3.754,0.0
vasc,96,1000,159.5,63.428,7.111,105.67,-5.267,0.0
